"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength"
"Seed_Prob_0_2","pytutils.debug","1615561601261041755","0","8686544835","1.0","1","34","0","0","1","34"
"Seed_Prob_0_0","pytutils.memo","1615561355993497510","221","121495946206","0.25","8","42","8","42","0","0"
"Seed_Prob_0_2","pytutils.props","1615561606599851687","211","121589366276","0.6470588235294118","8","62","7","55","1","7"
"Seed_Prob_0_9","pytutils.urls","1615562470923424125","345","121150218097","0.75","8","38","8","38","0","0"
"Seed_Prob_0_9","pytutils.lazy.lazy_import","1615562480953708655","140","121665618151","0.41379310344827586","12","103","12","103","0","0"
"Seed_Prob_0_2","pytutils.lazy.lazy_regex","1615561581556237409","206","121251309895","0.6041666666666666","9","71","9","71","0","0"
"Seed_Prob_0_0","pytutils.iters","1615561308850511519","234","121175550728","0.26666666666666666","4","51","3","48","1","3"
"Seed_Prob_0_7","pytutils.iters","1615562226563146812","253","129434414368","0.26666666666666666","3","53","2","22","1","31"
"Seed_Prob_0_3","pytutils.debug","1615561706525008309","0","7435089268","1.0","1","13","0","0","1","13"
"Seed_Prob_0_1","pytutils.rand","1615561550802306452","0","6819664179","1.0","7","21","7","21","0","0"
"Seed_Prob_0_9","pytutils.rand","1615562482208664497","0","4717194553","1.0","4","10","4","10","0","0"
"Seed_Prob_0_7","pytutils.meth","1615562226740774462","0","11979666619","1.0","4","15","4","15","0","0"
"Seed_Prob_0_3","pytutils.sets","1615561722402705965","177","121649044468","0.6666666666666666","8","69","8","69","0","0"
"Seed_Prob_0_2","pytutils.mappings","1615561606472936881","102","122626999994","0.672","19","321","17","297","2","24"
"Seed_Prob_0_5","pytutils.sets","1615561977120411120","185","122586288034","0.6666666666666666","7","81","6","74","1","7"
"Seed_Prob_0_9","pytutils.env","1615562467087057891","264","123501742502","0.5","7","59","5","41","2","18"
"Seed_Prob_0_9","pytutils.mappings","1615562478468977883","111","123639249131","0.632","16","245","16","245","0","0"
"Seed_Prob_0_2","pytutils.rand","1615561589585690609","0","4932914459","1.0","10","25","10","25","0","0"
